2019-09-10 15:35:04,b'SES Extends Global Reach of Microsoft Azure ExpressRoute with Multi-orbit Satellite Systems https://t.co/4mwcGmYt1m\xe2\x80\xa6 https://t.co/rxBzs80ylO',668
2019-09-10 15:31:32,b'Comparing Bull/Bear Strength:\nPrice to daily EMA50:\n\n  #NDX  0.91%\n  #SPX  1.22%\n  #DJI  1.54%\n\n  #AMZN  -1.39%\xe2\x80\xa6 https://t.co/jXiB1I97dx',396
2019-09-10 15:18:07,"b'The Intrazone, episode 37: \xe2\x80\x9cSharePoint is the elected official\xe2\x80\x9d\n\n#SharePoint #Office365 #Microsoft\xe2\x80\xa6 https://t.co/mIHT9SKjkb'",54
2019-09-10 13:30:24,b'SES Extends Global Reach of Microsoft Azure ExpressRoute with Multi-orbit Satellite Systems https://t.co/slEkSr9yPC\xe2\x80\xa6 https://t.co/qnDhYzUKtg',336
2019-09-10 13:25:52,b'Best in the Bleep!! Highest scorers in this afternoons @ebbwfawr Yr8 PE group! #topperfomers #topsathletes #msft https://t.co/j0asTrLJkD',858
2019-09-10 13:25:37,b'Excellent performances from these @ebbwfawr yr8 pupils in the bleep test this afternoon #toprunners #teamebbw #msft https://t.co/i1LTYh76Dm',858
2019-09-10 13:11:52,"b'9Sep2019 @jimcramer #StopTrading #alert "" $AMGN &amp; $LLY give news on cancer &amp; $MSFT slows"" #amgn #lly #msft\xe2\x80\xa6 https://t.co/QmTPJCeQ2n'",110
2019-09-10 12:39:34,b'RT @EFLC_PE: Best in the Bleep!! Highest scorers in this afternoons @ebbwfawr Yr8 PE group! #topperfomers #topsathletes #msft https://t.co/\xe2\x80\xa6',2024
2019-09-10 12:38:56,b'RT @EFLC_PE: Best in the Bleep!! Highest scorers in this mornings @ebbwfawr Yr7 PE group! #topperfomers #topsathletes #msft https://t.co/cm\xe2\x80\xa6',2024
2019-09-10 12:38:52,b'RT @EFLC_PE: Awesome effort from these @ebbwfawr year 7 pupils in the bleep test. Top scorers!!!  #topperfomers #topsathletes #msft https:/\xe2\x80\xa6',2024
2019-09-10 12:38:49,b'RT @EFLC_PE: Best in the Bleep!! Highest scorers in this mornings @ebbwfawr Yr7 PE group! #topperfomers #topsathletes #msft https://t.co/Sv\xe2\x80\xa6',2024
2019-09-10 12:08:55,b'RT @cbronline: Microsoft Rolls Out Automated Office 365 Incident Response Tools https://t.co/sLNXsMcICQ #office365 #cybersecurity #msft #ad\xe2\x80\xa6',2887
